T25,CO2 emission estimates,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
408,Dem. People's Rep. Korea,2013,Emissions per capita (metric tons of carbon dioxide),1.4,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
408,Dem. People's Rep. Korea,2014,Emissions per capita (metric tons of carbon dioxide),1.6,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
180,Dem. Rep. of the Congo,1975,Emissions (thousand metric tons of carbon dioxide),"3,238",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
180,Dem. Rep. of the Congo,1985,Emissions (thousand metric tons of carbon dioxide),"3,641",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
180,Dem. Rep. of the Congo,1995,Emissions (thousand metric tons of carbon dioxide),"2,123",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
180,Dem. Rep. of the Congo,2005,Emissions (thousand metric tons of carbon dioxide),"1,500",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
180,Dem. Rep. of the Congo,2010,Emissions (thousand metric tons of carbon dioxide),"2,021",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
180,Dem. Rep. of the Congo,2012,Emissions (thousand metric tons of carbon dioxide),"2,402",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
180,Dem. Rep. of the Congo,2013,Emissions (thousand metric tons of carbon dioxide),"3,590",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
180,Dem. Rep. of the Congo,2014,Emissions (thousand metric tons of carbon dioxide),"4,672",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
180,Dem. Rep. of the Congo,1975,Emissions per capita (metric tons of carbon dioxide),0.1,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
180,Dem. Rep. of the Congo,1985,Emissions per capita (metric tons of carbon dioxide),0.1,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
180,Dem. Rep. of the Congo,1995,Emissions per capita (metric tons of carbon dioxide),0,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
180,Dem. Rep. of the Congo,2005,Emissions per capita (metric tons of carbon dioxide),0,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
180,Dem. Rep. of the Congo,2010,Emissions per capita (metric tons of carbon dioxide),0,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
180,Dem. Rep. of the Congo,2012,Emissions per capita (metric tons of carbon dioxide),0,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
180,Dem. Rep. of the Congo,2013,Emissions per capita (metric tons of carbon dioxide),0,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
180,Dem. Rep. of the Congo,2014,Emissions per capita (metric tons of carbon dioxide),0.1,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
208,Denmark,1975,Emissions (thousand metric tons of carbon dioxide),"55,779",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
208,Denmark,1985,Emissions (thousand metric tons of carbon dioxide),"60,073",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
208,Denmark,1995,Emissions (thousand metric tons of carbon dioxide),"57,172",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
208,Denmark,2005,Emissions (thousand metric tons of carbon dioxide),"47,095",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
208,Denmark,2010,Emissions (thousand metric tons of carbon dioxide),"46,641",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
208,Denmark,2012,Emissions (thousand metric tons of carbon dioxide),"36,428",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
208,Denmark,2013,Emissions (thousand metric tons of carbon dioxide),"38,533",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
208,Denmark,2014,Emissions (thousand metric tons of carbon dioxide),"33,498",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
208,Denmark,1975,Emissions per capita (metric tons of carbon dioxide),11,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
208,Denmark,1985,Emissions per capita (metric tons of carbon dioxide),11.7,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
208,Denmark,1995,Emissions per capita (metric tons of carbon dioxide),10.9,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
208,Denmark,2005,Emissions per capita (metric tons of carbon dioxide),8.7,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
208,Denmark,2010,Emissions per capita (metric tons of carbon dioxide),8.4,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
208,Denmark,2012,Emissions per capita (metric tons of carbon dioxide),6.5,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
208,Denmark,2013,Emissions per capita (metric tons of carbon dioxide),6.9,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
208,Denmark,2014,Emissions per capita (metric tons of carbon dioxide),5.9,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
262,Djibouti,1975,Emissions (thousand metric tons of carbon dioxide),198,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
262,Djibouti,1985,Emissions (thousand metric tons of carbon dioxide),359,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
262,Djibouti,1995,Emissions (thousand metric tons of carbon dioxide),304,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
262,Djibouti,2005,Emissions (thousand metric tons of carbon dioxide),414,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
262,Djibouti,2010,Emissions (thousand metric tons of carbon dioxide),517,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
262,Djibouti,2012,Emissions (thousand metric tons of carbon dioxide),517,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
262,Djibouti,2013,Emissions (thousand metric tons of carbon dioxide),609,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
262,Djibouti,2014,Emissions (thousand metric tons of carbon dioxide),722,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
262,Djibouti,1975,Emissions per capita (metric tons of carbon dioxide),0.9,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
262,Djibouti,1985,Emissions per capita (metric tons of carbon dioxide),0.9,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
262,Djibouti,1995,Emissions per capita (metric tons of carbon dioxide),0.5,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
262,Djibouti,2005,Emissions per capita (metric tons of carbon dioxide),0.5,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
262,Djibouti,2010,Emissions per capita (metric tons of carbon dioxide),0.6,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
262,Djibouti,2012,Emissions per capita (metric tons of carbon dioxide),0.6,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
262,Djibouti,2013,Emissions per capita (metric tons of carbon dioxide),0.7,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
262,Djibouti,2014,Emissions per capita (metric tons of carbon dioxide),0.8,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
212,Dominica,1975,Emissions (thousand metric tons of carbon dioxide),29,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
212,Dominica,1985,Emissions (thousand metric tons of carbon dioxide),48,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
212,Dominica,1995,Emissions (thousand metric tons of carbon dioxide),81,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
212,Dominica,2005,Emissions (thousand metric tons of carbon dioxide),117,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
212,Dominica,2010,Emissions (thousand metric tons of carbon dioxide),139,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
212,Dominica,2012,Emissions (thousand metric tons of carbon dioxide),136,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
212,Dominica,2013,Emissions (thousand metric tons of carbon dioxide),132,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
212,Dominica,2014,Emissions (thousand metric tons of carbon dioxide),136,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
212,Dominica,1975,Emissions per capita (metric tons of carbon dioxide),0.4,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
212,Dominica,1985,Emissions per capita (metric tons of carbon dioxide),0.7,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
212,Dominica,1995,Emissions per capita (metric tons of carbon dioxide),1.1,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
212,Dominica,2005,Emissions per capita (metric tons of carbon dioxide),1.7,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
212,Dominica,2010,Emissions per capita (metric tons of carbon dioxide),1.9,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
212,Dominica,2012,Emissions per capita (metric tons of carbon dioxide),1.9,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
212,Dominica,2013,Emissions per capita (metric tons of carbon dioxide),1.8,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
212,Dominica,2014,Emissions per capita (metric tons of carbon dioxide),1.9,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
214,Dominican Republic,1975,Emissions (thousand metric tons of carbon dioxide),"6,340",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
214,Dominican Republic,1985,Emissions (thousand metric tons of carbon dioxide),"7,294",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
214,Dominican Republic,1995,Emissions (thousand metric tons of carbon dioxide),"15,885",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
214,Dominican Republic,2005,Emissions (thousand metric tons of carbon dioxide),"18,639",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
214,Dominican Republic,2010,Emissions (thousand metric tons of carbon dioxide),"21,023",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
214,Dominican Republic,2012,Emissions (thousand metric tons of carbon dioxide),"22,123",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
214,Dominican Republic,2013,Emissions (thousand metric tons of carbon dioxide),"21,441",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
214,Dominican Republic,2014,Emissions (thousand metric tons of carbon dioxide),"21,540",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
214,Dominican Republic,1975,Emissions per capita (metric tons of carbon dioxide),1.2,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
214,Dominican Republic,1985,Emissions per capita (metric tons of carbon dioxide),1.1,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
214,Dominican Republic,1995,Emissions per capita (metric tons of carbon dioxide),2,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
214,Dominican Republic,2005,Emissions per capita (metric tons of carbon dioxide),2,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
214,Dominican Republic,2010,Emissions per capita (metric tons of carbon dioxide),2.1,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
214,Dominican Republic,2012,Emissions per capita (metric tons of carbon dioxide),2.2,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
214,Dominican Republic,2013,Emissions per capita (metric tons of carbon dioxide),2.1,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
214,Dominican Republic,2014,Emissions per capita (metric tons of carbon dioxide),2.1,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
218,Ecuador,1975,Emissions (thousand metric tons of carbon dioxide),"7,363",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
218,Ecuador,1985,Emissions (thousand metric tons of carbon dioxide),"19,431",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
218,Ecuador,1995,Emissions (thousand metric tons of carbon dioxide),"22,842",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
218,Ecuador,2005,Emissions (thousand metric tons of carbon dioxide),"30,264",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
218,Ecuador,2010,Emissions (thousand metric tons of carbon dioxide),"36,461",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
218,Ecuador,2012,Emissions (thousand metric tons of carbon dioxide),"38,140",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
218,Ecuador,2013,Emissions (thousand metric tons of carbon dioxide),"40,997",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
218,Ecuador,2014,Emissions (thousand metric tons of carbon dioxide),"43,920",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
218,Ecuador,1975,Emissions per capita (metric tons of carbon dioxide),1.1,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
218,Ecuador,1985,Emissions per capita (metric tons of carbon dioxide),2.1,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
218,Ecuador,1995,Emissions per capita (metric tons of carbon dioxide),2,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
218,Ecuador,2005,Emissions per capita (metric tons of carbon dioxide),2.2,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
218,Ecuador,2010,Emissions per capita (metric tons of carbon dioxide),2.5,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
218,Ecuador,2012,Emissions per capita (metric tons of carbon dioxide),2.5,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
218,Ecuador,2013,Emissions per capita (metric tons of carbon dioxide),2.6,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
218,Ecuador,2014,Emissions per capita (metric tons of carbon dioxide),2.8,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
818,Egypt,1975,Emissions (thousand metric tons of carbon dioxide),"31,100",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
818,Egypt,1985,Emissions (thousand metric tons of carbon dioxide),"63,938",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
818,Egypt,1995,Emissions (thousand metric tons of carbon dioxide),"95,723",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
818,Egypt,2005,Emissions (thousand metric tons of carbon dioxide),"167,208",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
818,Egypt,2010,Emissions (thousand metric tons of carbon dioxide),"202,715",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
818,Egypt,2012,Emissions (thousand metric tons of carbon dioxide),"217,068",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
818,Egypt,2013,Emissions (thousand metric tons of carbon dioxide),"213,412",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
818,Egypt,2014,Emissions (thousand metric tons of carbon dioxide),"201,894",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
818,Egypt,1975,Emissions per capita (metric tons of carbon dioxide),0.8,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
818,Egypt,1985,Emissions per capita (metric tons of carbon dioxide),1.2,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
818,Egypt,1995,Emissions per capita (metric tons of carbon dioxide),1.5,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
818,Egypt,2005,Emissions per capita (metric tons of carbon dioxide),2.2,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
818,Egypt,2010,Emissions per capita (metric tons of carbon dioxide),2.5,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
818,Egypt,2012,Emissions per capita (metric tons of carbon dioxide),2.5,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
818,Egypt,2013,Emissions per capita (metric tons of carbon dioxide),2.4,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
818,Egypt,2014,Emissions per capita (metric tons of carbon dioxide),2.2,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
