T25,CO2 emission estimates,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
4,Afghanistan,1985,Emissions per capita (metric tons of carbon dioxide),0.3,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
4,Afghanistan,1995,Emissions per capita (metric tons of carbon dioxide),0.1,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
4,Afghanistan,2005,Emissions per capita (metric tons of carbon dioxide),0,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
4,Afghanistan,2010,Emissions per capita (metric tons of carbon dioxide),0.3,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
4,Afghanistan,2012,Emissions per capita (metric tons of carbon dioxide),0.4,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
4,Afghanistan,2013,Emissions per capita (metric tons of carbon dioxide),0.3,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
4,Afghanistan,2014,Emissions per capita (metric tons of carbon dioxide),0.3,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
8,Albania,1975,Emissions (thousand metric tons of carbon dioxide),"4,595",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
8,Albania,1985,Emissions (thousand metric tons of carbon dioxide),"7,880",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
8,Albania,1995,Emissions (thousand metric tons of carbon dioxide),"2,087",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
8,Albania,2005,Emissions (thousand metric tons of carbon dioxide),"4,254",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
8,Albania,2010,Emissions (thousand metric tons of carbon dioxide),"4,598",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
8,Albania,2012,Emissions (thousand metric tons of carbon dioxide),"4,910",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
8,Albania,2013,Emissions (thousand metric tons of carbon dioxide),"5,064",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
8,Albania,2014,Emissions (thousand metric tons of carbon dioxide),"5,717",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
8,Albania,1975,Emissions per capita (metric tons of carbon dioxide),1.9,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
8,Albania,1985,Emissions per capita (metric tons of carbon dioxide),2.7,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
8,Albania,1995,Emissions per capita (metric tons of carbon dioxide),0.7,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
8,Albania,2005,Emissions per capita (metric tons of carbon dioxide),1.4,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
8,Albania,2010,Emissions per capita (metric tons of carbon dioxide),1.6,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
8,Albania,2012,Emissions per capita (metric tons of carbon dioxide),1.7,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
8,Albania,2013,Emissions per capita (metric tons of carbon dioxide),1.8,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
8,Albania,2014,Emissions per capita (metric tons of carbon dioxide),2,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
12,Algeria,1975,Emissions (thousand metric tons of carbon dioxide),"32,031",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
12,Algeria,1985,Emissions (thousand metric tons of carbon dioxide),"72,786",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
12,Algeria,1995,Emissions (thousand metric tons of carbon dioxide),"95,294",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
12,Algeria,2005,Emissions (thousand metric tons of carbon dioxide),"107,278",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
12,Algeria,2010,Emissions (thousand metric tons of carbon dioxide),"119,178",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
12,Algeria,2012,Emissions (thousand metric tons of carbon dioxide),"129,988",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
12,Algeria,2013,Emissions (thousand metric tons of carbon dioxide),"134,465",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
12,Algeria,2014,Emissions (thousand metric tons of carbon dioxide),"145,400",,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
12,Algeria,1975,Emissions per capita (metric tons of carbon dioxide),2,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
12,Algeria,1985,Emissions per capita (metric tons of carbon dioxide),3.3,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
12,Algeria,1995,Emissions per capita (metric tons of carbon dioxide),3.4,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
12,Algeria,2005,Emissions per capita (metric tons of carbon dioxide),3.3,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
12,Algeria,2010,Emissions per capita (metric tons of carbon dioxide),3.3,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
12,Algeria,2012,Emissions per capita (metric tons of carbon dioxide),3.5,,"Carbon Dioxide Information Analysis Center (CDIAC) of the Oak Ridge National Laboratory, Oak Ridge, Tennessee, U.S.A., database on national CO2 emission estimates, last accessed March 2017."
